x_km,y_km,dist_highway_km,dist_airport_km,road_density_km_per_sqkm,pop_density_per_ha,industrial_units,commercial_units
14.9816047538945,27.926468560789807,5.223125528018966,18.605769561751796,4.593245212196587,54.592477799992814,1,10
38.02857225639664,21.443854653764816,18.809242102548378,30.274786077998012,7.119809530079154,31.91873946048082,0,4
29.279757672456203,12.38110465145311,11.342899466738261,19.426237805344748,5.087333129384161,31.71254979022148,1,14
23.946339367881464,32.551800788277944,5.263947147011938,26.51573307601157,4.710047502442686,41.17135982440987,4,9
6.240745617697461,27.389246902155172,15.402048208376298,17.79094998405015,6.475374944711886,43.16607262264522,2,13
6.239780813448106,6.504677573795652,14.835456901722296,5.1338608467740965,7.0607786481664725,33.19444272494481,1,9
2.3233444867279784,36.4370873797537,18.855209349413553,27.52908696259616,5.48672152455713,21.437905962143443,0,10
34.647045830997406,32.90148971692676,16.538817819047686,33.644540410738095,5.523304087401316,29.687895093397916,0,2
24.04460046972835,37.99199653167696,4.331839985268472,31.317769272151374,5.709652451876411,43.596173330183085,0,15
28.322903111841818,29.0287803355344,8.995120778013058,26.41634455226467,6.840786251414865,45.956466147937824,0,15
0.8233797718320979,24.536607837431596,19.426633357274024,17.190791902390593,5.651253764295852,29.386095441957448,0,6
38.79639408647977,16.729721451624755,23.1919525038851,29.572309061016956,5.363138866749731,27.491139872812212,0,7
33.29770563201687,37.309139334160534,16.181169419337287,35.89668757543939,4.809251265232373,28.12322709225139,0,7
8.493564427131046,34.642555580016335,11.546660674074333,24.68855794997754,5.156530412144654,30.991984836898794,0,8
7.272998688284025,1.8087468042475763,13.949732874911705,8.633259238029687,4.066631526545146,38.90069999414794,0,8
7.336180394137353,1.0546789798900802,15.257403163337903,9.333525756400878,4.357244892578498,27.97159576608713,7,3
12.169689718381509,15.058534675121983,8.029463107006341,5.504209891842961,5.256762211124393,52.81191213382899,4,18
20.990257265289515,32.422133231273314,1.8294601829354167,24.970739144010537,6.052097152342129,54.23030919333074,5,10
17.27780074568463,39.49104517259778,5.193064518440901,30.3757819498707,4.257093537105735,42.71479838369581,4,12
11.649165607921677,6.016675644141127,8.385369915622535,4.311220259547194,4.674062769500493,37.362108300419216,9,15
24.47411578889518,23.765228614085405,5.669526245788065,19.97452243905672,7.2667723344620265,53.33626741905064,3,19
5.579754426081673,15.235634265240861,14.773140538663538,6.852038900437503,6.8355632158165,37.30552761031912,2,13
11.685785941408726,38.79657591258413,10.89646272994695,28.84587766959903,5.651660910076228,29.479976833205072,0,9
14.654473731747668,33.684756925428346,8.887996190874585,24.137767840795778,4.539838522384862,42.48605834839341,3,15
18.24279936868144,33.533148188445516,4.644374312559536,24.93497152778947,5.1612846149035505,38.13586138232003,0,15
31.407038455720546,18.74772639179881,12.049899860919004,23.125397563511676,7.031281393562125,48.437876632992,2,14
7.986951286334389,16.592780093506608,13.99385942040097,6.8932658794600234,5.340976194663784,38.19309119993709,0,15
20.569377536544465,10.93628287722825,2.430804809843544,10.610766566850934,6.458055955057919,50.70881237481268,10,12
23.6965827544817,2.2550198660370846,4.080923276001234,15.734709925062035,5.721153397155063,41.25005583929957,6,19
1.858016508799909,34.588895050202126,19.90758103259474,25.901846555039846,3.7332953647713767,25.471490806264143,0,8
24.301794076057533,32.516040365203104,4.339503871326443,26.67420828293522,6.099098722300003,47.529039187601384,0,10
6.820964947491661,39.98870693144522,14.086043692796146,30.15673734483204,3.341429465413523,26.640125612809886,0,6
2.6020637194111806,39.86547348295622,17.659312521786106,30.76809983688972,3.5578684538971084,29.11991402011369,0,5
37.95542149013333,22.217268224105098,18.083899257604976,30.508478060216913,5.542054668355329,26.1363461102391,0,6
38.625281322982374,30.75949660722042,18.705356666286757,35.360478365048735,3.4991476508307837,29.76950381562947,0,6
32.33589392465844,37.79062919529712,13.52757187434668,35.65404925789068,5.105024368349946,41.28182291132893,0,14
12.184550766934827,33.98589562709646,8.23077524613374,24.08517077139543,5.5810738379441664,34.86151626780867,1,17
3.906884560255355,9.893924069727905,17.38325187696502,6.094038715419987,5.591513838118461,28.91646170612485,1,7
27.369321060486275,18.02176541240374,7.436910995975749,19.132225025696542,7.0345978381203125,51.22086062276392,1,18
17.606099749584054,5.166376606059799,2.772660631833624,9.012029100877815,6.837479900883691,44.486028973145274,13,24
4.881529393791153,38.16204109034889,15.893894120608897,28.623404754171425,4.555517766926955,30.17512453478754,0,9
19.807076404450807,24.246985378035202,1.75702092888718,17.296107653593182,7.018770817951181,57.31606019197062,8,22
1.3755408446087358,9.14571222013851,19.008288762431423,8.666666217977525,4.864351347764178,32.11288526384882,0,18
36.372816083151285,26.86802737623427,17.356025169553448,31.305842517349888,5.77139314781764,39.11551812226125,0,12
10.351199264000677,24.725129618315833,11.820162394723592,14.729317132821766,6.427539228287797,45.39535323412899,0,15
26.50089137415928,14.326508721313619,7.457647883231367,17.05866623911163,6.738206352368232,46.43644111465912,5,19
12.468443043576439,4.542303687985161,7.796772599389411,5.989963279817439,4.859171041497294,42.26957815127028,13,16
20.802720847112433,26.862927823711985,0.8274242608565877,20.026410374511887,6.433222258111327,62.17598415839502,9,18
21.868411173731186,20.812308036151734,3.9093928601053674,16.05506738875233,6.57231292779003,55.34478247289968,6,16
7.394178221021082,30.892735669425573,12.627320643139178,21.054612580056858,6.9006486405873995,32.15360812866285,0,18
38.783385110582344,20.806540044479735,20.860442877186514,30.74515516560353,4.184805438647076,36.30448875424229,0,2
